user,party1,party2
3290918512,FdI;M5s,M5s
36353564,FdI;M5s,M5s
919830836253483008,FdI;M5s,M5s
1550216531832889345,FdI;M5s,M5s
3109897131,FdI;M5s,FdI;Az-Iv
81845003,FdI;M5s,M5s
801131959,FdI;M5s,M5s
1092670394,FdI;M5s,M5s
1020002929238073216,FdI;M5s,M5s
1307279266481135616,FdI;M5s,M5s
452117960,FdI;M5s,M5s
3719734875,FdI;M5s,M5s
13727692,FdI;M5s,M5s
2951279819,FdI;M5s,M5s
913060864223309824,FdI;M5s,M5s
1926516720,FdI;M5s,M5s
1264018218,FdI;M5s,M5s
2820333045,FdI;M5s,M5s
1367195379545108482,FdI;M5s,M5s
52424550,FdI;M5s,M5s
1495307335245389827,FdI;M5s,M5s
3793353617,FdI;M5s,M5s
1876212612,FdI;M5s,M5s
1343135374059692032,FdI;M5s,PD;AVS
3937406775,FdI;M5s,M5s
391479731,FdI;M5s,M5s
1154327381517185024,FdI;M5s,M5s
93197485,FdI;M5s,M5s
493878618,FdI;M5s,M5s
1551304608143769600,FdI;M5s,M5s
951954227525505025,FdI;M5s,FdI;Az-Iv
897077656507863040,FdI;M5s,M5s
2706476465,FdI;M5s,M5s
3004002945,FdI;M5s,M5s
1026391588694577152,FdI;M5s,M5s
812774677,FdI;M5s,M5s
3224143481,FdI;M5s,M5s
784331797496631296,FdI;M5s,M5s
1003993784718278656,FdI;M5s,FdI;Az-Iv
1345376815381151744,FdI;M5s,M5s
976995883,FdI;M5s,M5s
1879973286,FdI;M5s,M5s
1442258634080018433,FdI;M5s,M5s
880434928642658304,FdI;M5s,M5s
1464791904,FdI;M5s,M5s
423327600,FdI;M5s,M5s
867257453079089153,FdI;M5s,M5s
94656850,FdI;M5s,FdI;Az-Iv
761199012120670209,FdI;M5s,M5s
1147667791,FdI;M5s,M5s
925374824,FdI;M5s,M5s
1383140323157762048,FdI;M5s,M5s
1483526293375406080,FdI;M5s,M5s
1440962359,FdI;M5s,M5s
1918640804,FdI;M5s,M5s
1547970411295490048,FdI;M5s,M5s
1459703156,FdI;M5s,M5s
1154012262,FdI;M5s,M5s
1208105638418616321,FdI;M5s,M5s
388362333,FdI;M5s,M5s
869967604500365312,FdI;M5s,M5s
2359652115,FdI;M5s,M5s
1248468055170007041,FdI;M5s,PD;AVS
1926324451,FdI;M5s,M5s
1120252843741581184,FdI;M5s,M5s
50221410,FdI;M5s,M5s
1074329685532835840,FdI;M5s,M5s
743850585410121729,FdI;M5s,M5s
1111697667946659840,FdI;M5s,M5s
494305391,FdI;M5s,M5s
414855494,FdI;M5s,PD;AVS
1314132968,FdI;M5s,M5s
1350773318710943488,FdI;M5s,PD;AVS
389648746,FdI;M5s,M5s
2153829339,FdI;M5s,M5s
1369086320,FdI;M5s,M5s
1001950439569584128,FdI;M5s,M5s
1370731614746112001,FdI;M5s,M5s
1488553991390773248,FdI;M5s,M5s
856908432,FdI;M5s,M5s
452318028,FdI;M5s,M5s
1028813212563787781,FdI;M5s,L;FdI
714896919349346304,FdI;M5s,M5s
1377025293907550210,FdI;M5s,M5s
2386237696,FdI;M5s,M5s
1083776380020637698,FdI;M5s,M5s
350256698,FdI;M5s,M5s
2418608285,FdI;M5s,M5s
